"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PBMD","Prima BioMed Ltd","1.73","$40.87M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pbmd",
"PNRG","PrimeEnergy Corporation","50.405","$110.36M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pnrg",
"PRMW","Primo Water Corporation","12.83","$385.16M","2010","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/prmw",
"PRIM","Primoris Services Corporation","26.12","$1.34B","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/prim",
"PVAL","Principal Contrarian Value Index ETF","25.49","$3.82M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pval",
"BTEC","Principal Healthcare Innovators Index ETF","29.8974","$44.85M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/btec",
"PXUS","Principal International Multi-Factor Index ETF","99.98","$15M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pxus",
"GENY","Principal Millennials Index ETF","33.3094","$9.99M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/geny",
"PSET","Principal Price Setters Index ETF","31.3","$12.52M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pset",
"PY","Principal Shareholder Yield Index ETF","30.4","$7.6M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/py",
"PMOM","Principal Sustainable Momentum Index ETF","25.24","$3.79M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pmom",
"USMC","Principal U.S. Mega-Cap Multi-Factor Index ETF","25.19","$314.88M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usmc",
"PSC","Principal U.S. Small-Cap Multi-Factor Index ETF","30.479","$297.17M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psc",
"PDEX","Pro-Dex, Inc.","7.5","$32.7M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/pdex",
"IPDN","Professional Diversity Network, Inc.","4.33","$17.04M","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/ipdn",
"PFIE","Profire Energy, Inc.","1.9","$92M","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/pfie",
"PGNX","Progenics Pharmaceuticals Inc.","5.59","$392.81M","1997","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pgnx",
"PRGS","Progress Software Corporation","41.9","$2B","1991","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/prgs",
"PFPT","Proofpoint, Inc.","90","$4.04B","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/pfpt",
"PRPH","ProPhase Labs, Inc.","2.28","$28.34M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/prph",
"PRQR","ProQR Therapeutics N.V.","3.1","$78.45M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/prqr",
"EQRR","ProShares Equities for Rising Rates ETF","43.4","$17.36M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eqrr",
"BIB","ProShares Ultra Nasdaq Biotechnology","53.01","$437.33M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bib",
"UBIO","Proshares UltraPro Nasdaq Biotechnology","31.03","$46.54M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ubio",
"TQQQ","ProShares UltraPro QQQ","134.23","$2.22B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tqqq",
"ZBIO","ProShares UltraPro Short NASDAQ Biotechnology","12.62","$5.68M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zbio",
"SQQQ","ProShares UltraPro Short QQQ","22.51","$566.92M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sqqq",
"BIS","ProShares UltraShort Nasdaq Biotechnology","23.49","$44.28M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bis",
"PSEC","Prospect Capital Corporation","6.89","$2.48B","2004","n/a","n/a","http://www.nasdaq.com/symbol/psec",
"PTGX","Protagonist Therapeutics, Inc.","17.4","$356.35M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ptgx",
"PRTO","Proteon Therapeutics, Inc.","1.9","$33.48M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/prto",
"PTI","Proteostasis Therapeutics, Inc.","1.86","$46.69M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pti",
"PRTA","Prothena Corporation plc","51.93","$2B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/prta",
"PVBC","Provident Bancorp, Inc.","23.5","$226.26M","2015","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pvbc",
"PROV","Provident Financial Holdings, Inc.","19.14","$145.65M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/prov",
"PBIP","Prudential Bancorp, Inc.","18.58","$167.36M","n/a","Finance","Banks","http://www.nasdaq.com/symbol/pbip",
"PSDV","pSivida Corp.","1.26","$57.02M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/psdv",
"PMD","Psychemedics Corporation","17.66","$96.99M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/pmd",
